INFO   | jvm 1    | 2024/11/22 14:58:49 | ClientFrameworkService                            [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | TemplateService                                   [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | TableTemplateService                              [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | 
INFO   | jvm 1    | 2024/11/22 14:58:49 | Starting Services
INFO   | jvm 1    | 2024/11/22 14:58:49 | CacheService                                      [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | PatchUpdaterService                               [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | AuthenticationService                             [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | AuthorizationService                              [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | TaskEngineService                                 [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:58:54 | WebService                                        [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:58:54 | ClientFrameworkService                            [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:58:54 | TemplateService                                   [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:58:54 | TableTemplateService                              [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:58:54 | 
INFO   | jvm 1    | 2024/11/22 14:58:54 | Server started in :: [10197 ms]
INFO   | jvm 1    | 2024/11/22 14:58:54 | 
INFO   | jvm 1    | 2024/11/22 14:58:54 | Connect to: [ http://localhost:8085 ]
STATUS | wrapper  | 2024/11/22 15:07:13 | CTRL-C trapped.  Shutting down.
INFO   | jvm 1    | 2024/11/22 15:07:15 | System going to Shutdown --- received process interrupt
INFO   | jvm 1    | 2024/11/22 15:07:15 | Shutting down the JVM now!
INFO   | jvm 1    | 2024/11/22 15:07:15 | Stopping Services
INFO   | jvm 1    | 2024/11/22 15:07:15 | TableTemplateService                              [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 15:07:15 | TemplateService                                   [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 15:07:15 | ClientFrameworkService                            [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 15:07:15 | WebService                                        [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 15:07:15 | TaskEngineService                                 [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 15:07:15 | AuthorizationService                              [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 15:07:15 | AuthenticationService                             [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 15:07:15 | PatchUpdaterService                               [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 15:07:15 | CacheService                                      [ STOPPED ]
INFO   | jvm 1    | 2024/11/22 15:07:15 | Destroying Services
INFO   | jvm 1    | 2024/11/22 15:07:15 | TableTemplateService                              [DESTROYED]
INFO   | jvm 1    | 2024/11/22 15:07:15 | TemplateService                                   [DESTROYED]
INFO   | jvm 1    | 2024/11/22 15:07:15 | ClientFrameworkService                            [DESTROYED]
INFO   | jvm 1    | 2024/11/22 15:07:15 | WebService                                        [DESTROYED]
INFO   | jvm 1    | 2024/11/22 15:07:15 | TaskEngineService                                 [DESTROYED]
INFO   | jvm 1    | 2024/11/22 15:07:15 | AuthorizationService                              [DESTROYED]
INFO   | jvm 1    | 2024/11/22 15:07:15 | AuthenticationService                             [DESTROYED]
INFO   | jvm 1    | 2024/11/22 15:07:15 | PatchUpdaterService                               [DESTROYED]
INFO   | jvm 1    | 2024/11/22 15:07:15 | CacheService                                      [DESTROYED]
INFO   | jvm 1    | 2024/11/22 15:07:15 | Stopping Module processors
INFO   | jvm 1    | 2024/11/22 15:07:15 | 
INFO   | jvm 1    | 2024/11/22 15:07:15 | ModuleStopProcess:: Persistence::DBAUDIT     [ STOPPED ]
STATUS | wrapper  | 2024/11/22 15:07:16 | <-- Wrapper Stopped
STATUS | wrapper  | 2024/11/22 15:07:19 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/11/22 15:07:19 | Java Service Wrapper Professional Edition 64-bit 3.5.51
STATUS | wrapper  | 2024/11/22 15:07:19 |   Copyright (C) 1999-2022 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2024/11/22 15:07:19 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2024/11/22 15:07:19 |   Licensed to Zoho Corporation Pvt. Ltd. for MickeyLite
STATUS | wrapper  | 2024/11/22 15:07:19 | 
STATUS | wrapper  | 2024/11/22 15:07:19 | Launching a JVM...
INFO   | jvm 1    | 2024/11/22 15:07:20 | WrapperManager: Initializing...
INFO   | jvm 1    | 2024/11/22 15:07:20 | Starting Server from location: C:\Users\praveen-22566\Desktop\MickeyShopProject\AdventNetMickeyLite\AdventNet\MickeyLite
INFO   | jvm 1    | 2024/11/22 15:07:20 | Free edition...
INFO   | jvm 1    | 2024/11/22 15:07:20 | 
INFO   | jvm 1    | 2024/11/22 15:07:23 | Modules already Populated
INFO   | jvm 1    | 2024/11/22 15:07:23 | 
INFO   | jvm 1    | 2024/11/22 15:07:23 |      ModulePreStartProcess :: Persistence::DBAUDIT[ STARTED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | Persistence                                       [ LOADED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 |      ModulePostStartProcess:: Persistence::DBAUDIT[ STARTED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | Audit                                             [ LOADED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | Authentication                                    [ LOADED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | Authorization                                     [ LOADED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | CustomView                                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | TaskEngine                                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | Tomcat                                            [ LOADED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | ClientFramework                                   [ LOADED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | ClientComponents                                  [ LOADED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | onlineshop_data_dictionary                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | 
INFO   | jvm 1    | 2024/11/22 15:07:23 | Creating Services
INFO   | jvm 1    | 2024/11/22 15:07:23 | CacheService                                      [ CREATED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | PatchUpdaterService                               [ CREATED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | AuthenticationService                             [ CREATED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | AuthorizationService                              [ CREATED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | TaskEngineService                                 [ CREATED ]
INFO   | jvm 1    | 2024/11/22 15:07:23 | WebService                                        [ CREATED ]
